county_fips,county_name,state,month_date,period,year,month,quarter,county_all_drugs_death_count,county_all_drugs_monthly_rate,county_fentanyl_death_count,county_fentanyl_monthly_rate,county_pct_fentanyl,county_population,lagged_neighbor_all_drugs_deaths,neighbor_all_drugs_deaths_diff,lagged_neighbor_fentanyl_deaths,neighbor_fentanyl_deaths_diff,lagged_neighbor_all_drugs_monthly_rate,neighbor_all_drugs_rate_diff,lagged_neighbor_fentanyl_monthly_rate,neighbor_fentanyl_rate_diff,lagged_neighbor_pct_fentanyl,neighbor_pct_fentanyl_diff
06059,ORANGE,CA,2021-11-01,202111,2021,11,4,89,2.809535880456458,69.0,2.178179502825793,0.7752808988764045,3167783.0,406.0,-19.0,249.0,-12.0,2.277973599969208,-0.10660467586062783,1.397082331015598,-0.067329268964607,0.6050118639290611,-0.0025498728259585324
06059,ORANGE,CA,2021-12-01,202112,2021,12,4,73,2.304450778351926,57.0,1.7993656762473946,0.7808219178082192,3167783.0,387.0,-2.0,237.0,-3.0,2.17136892410858,-0.011221544827434204,1.329753062050991,-0.01683231724115175,0.6024619911031026,0.0006563828232326596
06059,ORANGE,CA,2022-01-01,202201,2022,1,1,75,2.3794823896094663,47.0,1.491142297488599,0.6266666666666667,3151946.0,385.0,49.0,234.0,41.0,2.160147379281146,0.2888288499060123,1.3129207448098392,0.2388499073248811,0.6031183739263353,0.03735105248059112
06059,ORANGE,CA,2022-02-01,202202,2022,2,1,73,2.3160295258865475,46.0,1.4594158656271394,0.6301369863013698,3151946.0,434.0,-14.0,275.0,-6.0,2.448976229187158,-0.0789992331995859,1.5517706521347203,-0.03385681422839415,0.6404694264069264,0.004675250897193672
06059,ORANGE,CA,2022-03-01,202203,2022,3,1,77,2.442935253332386,49.0,1.5545951612115183,0.6363636363636364,3151946.0,420.0,-1.0,269.0,-1.0,2.3699769959875723,-0.005642802371398581,1.5179138379063262,-0.005642802371399025,0.6451446773041201,0.0016988356166954821
06059,ORANGE,CA,2022-04-01,202204,2022,4,2,69,2.189123798440709,54.0,1.713227320518816,0.782608695652174,3151946.0,419.0,10.0,268.0,7.0,2.3643341936161737,0.056428023713989806,1.5122710355349271,0.039499616599793175,0.6468435129208155,0.002440377298545071
06059,ORANGE,CA,2022-05-01,202205,2022,5,2,85,2.696746708224062,67.0,2.1256709347177902,0.788235294117647,3151946.0,429.0,-20.0,275.0,-11.0,2.4207622173301635,-0.11285604742797961,1.5517706521347203,-0.06207082608538905,0.6492838902193606,0.00440200721653683
06059,ORANGE,CA,2022-06-01,202206,2022,6,2,67,2.1256709347177902,53.0,1.6815008886573566,0.7910447761194029,3151946.0,409.0,0.0,264.0,0.0,2.307906169902184,0.0,1.4896998260493313,0.0,0.6536858974358974,0.0001470409527281058
06059,ORANGE,CA,2022-07-01,202207,2022,7,3,67,2.1256709347177902,44.0,1.3959630019042204,0.6567164179104478,3151946.0,409.0,61.0,264.0,16.0,2.307906169902184,0.34421094465533786,1.4896998260493313,0.09028483794238351,0.6538329383886256,-0.054482092600143917
06059,ORANGE,CA,2022-08-01,202208,2022,8,3,76,2.411208821470926,50.0,1.586321593072978,0.6578947368421053,3151946.0,470.0,9.0,280.0,5.0,2.6521171145575217,0.05078522134259078,1.5799846639917148,0.028214011856995125,0.5993508457884816,0.0011915767648105202
06059,ORANGE,CA,2022-09-01,202209,2022,9,3,73,2.3160295258865475,48.0,1.522868729350059,0.6575342465753424,3151946.0,479.0,31.0,285.0,20.0,2.7029023359001125,0.17492687351336844,1.60819867584871,0.11285604742797961,0.6005424225532922,0.0020005781180507665
06059,ORANGE,CA,2022-10-01,202210,2022,10,4,61,1.935312343549033,46.0,1.4594158656271394,0.7540983606557377,3151946.0,510.0,-117.0,305.0,-36.0,2.877829209413481,-0.660207877453681,1.7210547232766895,-0.20314088537036334,0.6025430006713429,0.0979896429416579
06059,ORANGE,CA,2022-11-01,202211,2022,11,4,74,2.3477559577480074,56.0,1.776680184241735,0.7567567567567568,3151946.0,393.0,-18.0,269.0,-13.0,2.2176213319598,-0.10157044268518156,1.5179138379063262,-0.07335643082818666,0.7005326436130008,-0.000743410835811309
06059,ORANGE,CA,2022-12-01,202212,2022,12,4,74,2.3477559577480074,56.0,1.776680184241735,0.7567567567567568,3151946.0,375.0,20.0,256.0,14.0,2.1160508892746184,0.11285604742797961,1.4445574070781395,0.07899923319958568,0.6997892327771895,0.0016023295490370515
06059,ORANGE,CA,2023-01-01,202301,2023,1,1,67,2.135686881527392,49.0,1.5600782866384475,0.7313432835820896,3137164.0,395.0,51.0,270.0,27.0,2.228906936702598,0.2976824423880622,1.5235566402777252,0.15894794624677266,0.7013915623262266,-0.039735183488885495
06059,ORANGE,CA,2023-02-01,202302,2023,2,1,48,1.5300443330345497,36.0,1.1176680262484402,0.75,3137164.0,446.0,-44.0,297.0,-28.0,2.52658937909066,-0.24925993874437014,1.6825045865244979,-0.15861996101914455,0.6616563788373411,0.0032705793480440892
06059,ORANGE,CA,2023-03-01,202303,2023,3,1,76,2.4225701939713704,56.0,1.7696410415600303,0.7368421052631579,3137164.0,402.0,23.0,269.0,15.0,2.27732944034629,0.1302949679800114,1.5238846255053533,0.08497497911739882,0.6649269581853852,-0.0011031373107652787
06059,ORANGE,CA,2023-04-01,202304,2023,4,2,54,1.7212998746638684,41.0,1.2773244519736555,0.7592592592592593,3137164.0,425.0,-55.0,284.0,-34.0,2.4076244083263014,-0.31157492343046256,1.6088596046227521,-0.19260995266610403,0.6638238208746199,0.015315496953413499
06059,ORANGE,CA,2023-05-01,202305,2023,5,2,84,2.677577582810462,63.0,1.986949147514576,0.75,3137164.0,370.0,9.0,250.0,6.0,2.096049484895839,0.05098498747043978,1.416249651956648,0.03398999164695948,0.6791393178280334,-0.000904141071131459
06059,ORANGE,CA,2023-06-01,202306,2023,6,2,52,1.6575480274540957,39.0,1.2300161389375943,0.75,3137164.0,379.0,-15.0,256.0,-10.0,2.1470344723662786,-0.08497497911739904,1.4502396436036076,-0.05664998607826588,0.6782351767569019,0.000389794841688329
06059,ORANGE,CA,2023-07-01,202307,2023,7,3,62,1.97630726350296,,,,3137164.0,364.0,50.0,246.0,,2.0620594932488796,0.28324993039132984,1.3935896575253417,,0.6786249715985903,
