county,year,population,fips,state,pop_date
SACRAMENTO,2015,1493547.0,06067,CA,2015-07-01
SACRAMENTO,2016,1511401.0,06067,CA,2016-07-01
SACRAMENTO,2017,1527984.0,06067,CA,2017-07-01
SACRAMENTO,2018,1539550.0,06067,CA,2018-07-01
SACRAMENTO,2019,1551660.0,06067,CA,2019-07-01
SACRAMENTO,2020,1559146.0,06067,CA,2020-07-01
SACRAMENTO,2021,1579186.0,06067,CA,2021-07-01
SACRAMENTO,2022,1573366.0,06067,CA,2022-07-01
SACRAMENTO,2023,1572453.0,06067,CA,2023-07-01
SAN BENITO,2015,58276.0,06069,CA,2015-07-01
SAN BENITO,2016,59270.0,06069,CA,2016-07-01
SAN BENITO,2017,60190.0,06069,CA,2017-07-01
SAN BENITO,2018,61415.0,06069,CA,2018-07-01
SAN BENITO,2019,62803.0,06069,CA,2019-07-01
SAN BENITO,2020,64055.0,06069,CA,2020-07-01
SAN BENITO,2021,64581.0,06069,CA,2021-07-01
SAN BENITO,2022,65543.0,06069,CA,2022-07-01
SAN BENITO,2023,65666.0,06069,CA,2023-07-01
SAN BERNARDINO,2015,2114352.0,06071,CA,2015-07-01
SAN BERNARDINO,2016,2130726.0,06071,CA,2016-07-01
SAN BERNARDINO,2017,2149847.0,06071,CA,2017-07-01
SAN BERNARDINO,2018,2165627.0,06071,CA,2018-07-01
SAN BERNARDINO,2019,2177279.0,06071,CA,2019-07-01
SAN BERNARDINO,2020,2189183.0,06071,CA,2020-07-01
SAN BERNARDINO,2021,2179007.0,06071,CA,2021-07-01
SAN BERNARDINO,2022,2180777.0,06071,CA,2022-07-01
SAN BERNARDINO,2023,2182056.0,06071,CA,2023-07-01
SAN DIEGO,2015,3280825.0,06073,CA,2015-07-01
SAN DIEGO,2016,3305462.0,06073,CA,2016-07-01
SAN DIEGO,2017,3319019.0,06073,CA,2017-07-01
SAN DIEGO,2018,3332483.0,06073,CA,2018-07-01
SAN DIEGO,2019,3330459.0,06073,CA,2019-07-01
SAN DIEGO,2020,3332427.0,06073,CA,2020-07-01
SAN DIEGO,2021,3283113.0,06073,CA,2021-07-01
SAN DIEGO,2022,3275435.0,06073,CA,2022-07-01
SAN DIEGO,2023,3269755.0,06073,CA,2023-07-01
