County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Imperial County,Male,1-4,5434,5146,4992
Imperial County,Male,5-9,8524,8334,7941
Imperial County,Male,10-14,8240,8412,8737
Imperial County,Male,15-19,7220,7361,7314
Imperial County,Male,20-24,6883,6748,6608
Imperial County,Male,25-29,7492,7479,7333
Imperial County,Male,30-34,6525,7086,7362
Imperial County,Male,35-39,4212,4307,4850
Imperial County,Male,40-44,4724,4602,4563
Imperial County,Male,45-49,4708,4805,4695
Imperial County,Male,50-54,4133,4105,4144
Imperial County,Male,55-59,4110,4137,4247
Imperial County,Male,60-64,4121,3950,3747
Imperial County,Male,65-69,4233,4219,4156
Imperial County,Male,70-74,3188,3254,3310
Imperial County,Male,75-79,2113,2299,2460
Imperial County,Male,80-84,1308,1308,1321
Imperial County,Male,85-89,933,957,973
Imperial County,Male,90-94,564,512,483
Imperial County,Male,95-99,247,245,250
Imperial County,Male,100+,29,51,51
Inyo County,Female,0,89,102,88
Inyo County,Female,1-4,336,330,342
Inyo County,Female,5-9,507,474,472
Inyo County,Female,10-14,536,530,527
Inyo County,Female,15-19,503,534,526
Inyo County,Female,20-24,476,471,461
Inyo County,Female,25-29,591,568,569
Inyo County,Female,30-34,494,536,556
Inyo County,Female,35-39,469,438,462
Inyo County,Female,40-44,510,531,529
Inyo County,Female,45-49,437,459,465
Inyo County,Female,50-54,483,464,473
Inyo County,Female,55-59,515,497,475
Inyo County,Female,60-64,714,706,661
Inyo County,Female,65-69,778,736,729
Inyo County,Female,70-74,613,656,700
Inyo County,Female,75-79,487,512,543
Inyo County,Female,80-84,351,358,369
Inyo County,Female,85-89,226,231,242
Inyo County,Female,90-94,163,144,138
Inyo County,Female,95-99,82,91,82
Inyo County,Female,100+,31,24,19
Inyo County,Male,0,97,96,97
Inyo County,Male,1-4,336,349,365
Inyo County,Male,5-9,489,458,434
Inyo County,Male,10-14,563,557,550
Inyo County,Male,15-19,563,581,559
Inyo County,Male,20-24,533,510,531
Inyo County,Male,25-29,617,607,589
Inyo County,Male,30-34,514,570,606
Inyo County,Male,35-39,491,486,488
Inyo County,Male,40-44,566,550,531
Inyo County,Male,45-49,482,506,537
Inyo County,Male,50-54,509,493,476
Inyo County,Male,55-59,485,493,484
Inyo County,Male,60-64,717,666,617
Inyo County,Male,65-69,732,745,730
Inyo County,Male,70-74,610,616,635
Inyo County,Male,75-79,490,498,521
Inyo County,Male,80-84,329,355,359
Inyo County,Male,85-89,201,211,221
Inyo County,Male,90-94,123,115,111
Inyo County,Male,95-99,52,56,60
Inyo County,Male,100+,11,12,10
Kern County,Female,0,6053,6041,6014
Kern County,Female,1-4,24402,24046,24057
Kern County,Female,5-9,33907,33417,32545
Kern County,Female,10-14,35913,35526,35249
Kern County,Female,15-19,36498,36565,36890
Kern County,Female,20-24,35105,35031,35005
Kern County,Female,25-29,33835,33527,33282
Kern County,Female,30-34,31972,33550,34543
Kern County,Female,35-39,27277,27254,27709
